Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score,Plot,Cleaned_Description,clean_plot,plot_sentiment,plot_subjectivity,Release Year,Release Month,netflix_director,Popular Actors,Running_bin
ARQ,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.","Action, Sci-Fi, Thriller",Mature Audiences,88,2016-09-09,Tony Elliott,"['Robbie Amell', 'Rachael Taylor', 'Shaun Benson']",Canada,1,Lost City,1,1,3,40738.0,6.3,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.",trapped in a lab and stuck in a time loop a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity,trapped in a lab and stuck in a time loop a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity,-0.03181818181818183,0.22727272727272727,2016,9,0,1,Medium
The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,"Action, Drama, History",Mature Audiences,108,2016-07-10,Richie Smyth,"['Richard Lukunku', 'Danny Sapani', 'Andrew Stock']",Ireland,1,No Production Company Listed,1,3,4,42382.0,7.2,"In 1961, the UN sends an Irish peacekeeper troop commanded by Commandant Pat Quinlan to Katanga, in Congo, to protect the inhabitants of the mining town of Jadotville in the beginning of a civil war. Meanwhile the UN advisor Dr. Conor Cruise O'Brien launches a military attack named Operation Morthor against the French and Belgian mercenaries. Soon there is a reprisal from the mercenaries and Quinlan and his men are left under siege by a huge number of Katangese and mercenary troops. Will the Irish soldiers resist the attack?",irish commandant pat quinlan leads a stand off with troops against french and belgian mercenaries in the congo during the early 1960s,in 1961 the un sends an irish peacekeeper troop commanded by commandant pat quinlan to katanga in congo to protect the inhabitants of the mining town of jadotville in the beginning of a civil war meanwhile the un advisor dr conor cruise obrien launches a military attack named operation morthor against the french and belgian mercenaries soon there is a reprisal from the mercenaries and quinlan and his men are left under siege by a huge number of katangese and mercenary troops will the irish soldiers resist the attack,0.05000000000000001,0.16666666666666666,2016,7,0,0,Medium
Mascots,A look into the world of competitive mascots.,Comedy,Mature Audiences,89,2016-09-10,Christopher Guest,"['Zach Woods', 'Wayne Wilderson', 'Sarah Baker']",United States,0,No Production Company Listed,1,1,1,7878.0,5.8,A look into the world of competitive mascots.,a look into the world of competitive mascots,a look into the world of competitive mascots,0.0,0.0,2016,9,1,0,Medium
I Am the Pretty Thing That Lives in the House,A young nurse takes care of an elderly author who lives in a haunted house.,"Drama, Horror, Mystery",Not Rated,87,2016-09-10,Osgood Perkins,"['Ruth Wilson', 'Paula Prentiss', 'Bob Balaban']",Canada,0,Netflix,1,0,2,15337.0,4.6,"Stained by the brutal death of a young woman, the tranquil and vacant New England mansion of the prolific horror authoress, Iris Blum, has become her silent prison. To take care of the ageing writer who suffers from chronic dementia, the property's manager hires the gentle and soft-spoken live-in hospice nurse, Lily Saylor; however, this is far from an ordinary job. Little by little, Lily's imagination will run wild, as shadowy sightings of eerie female spectres blur the frail boundaries between reality and fantasy, fable and truth. Iris has talked about man's coexistence with the spectral realm in her novels that chill the bone to the marrow. Could her secluded white house at the end of the road be an aerial limbo caught in the middle of life and death?",a young nurse takes care of an elderly author who lives in a haunted house,stained by the brutal death of a young woman the tranquil and vacant new england mansion of the prolific horror authoress iris blum has become her silent prison to take care of the ageing writer who suffers from chronic dementia the propertys manager hires the gentle and softspoken livein hospice nurse lily saylor however this is far from an ordinary job little by little lilys imagination will run wild as shadowy sightings of eerie female spectres blur the frail boundaries between reality and fantasy fable and truth iris has talked about mans coexistence with the spectral realm in her novels that chill the bone to the marrow could her secluded white house at the end of the road be an aerial limbo caught in the middle of life and death,-0.13090909090909092,0.5014141414141414,2016,9,0,0,Medium
True Memoirs of an International Assassin,"After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own sur...","Action, Comedy, Crime",Mature Audiences,98,2016-11-11,Jeff Wadlow,"['Kevin James', 'Kim Coates', 'Maurice Compte']",United States,0,PalmStar Media,0,0,0,23811.0,5.9,"After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own survival.",after a publisher changes a writers debut novel about a deadly assassin from fiction to nonfiction the author finds himself thrust into the world of his lead character and must take on the role of his character for his own sur,after a publisher changes a writers debut novel about a deadly assassin from fiction to nonfiction the author finds himself thrust into the world of his lead character and must take on the role of his character for his own survival,0.19999999999999998,0.7,2016,11,1,1,Medium
Mercy,A single mom and her two boys help take care of their grandmother with mystical powers.,"Horror, Thriller",Mature Audiences,90,2014-10-07,Chris Sparling,"[""Frances O'Connor"", 'Shirley Knight', 'Chandler Riggs']",United States,0,XYZ Films,0,0,0,5659.0,4.9,A single mom and her two boys help take care of their grandmother with mystical powers.,a single mom and her two boys help take care of their grandmother with mystical powers,a single mom and her two boys help take care of their grandmother with mystical powers,-0.07142857142857142,0.21428571428571427,2014,10,0,0,Medium
Spectral,A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.,"Action, Adventure, Sci-Fi",Parental Guidance,107,2016-12-09,Nic Mathieu,"['James Badge Dale', 'Emily Mortimer', 'Bruce Greenwood']",United States,1,Netflix,0,0,0,62280.0,6.3,Civil Unrest in the European country of Moldova has US forces engaging the insurgents however there is a new threat who has decided both are their enemy. This new threat resides in an alternative spectrum that makes them invisible to the naked eye and instant death to anyone confronting them. Locals believe they are Spirits of War but others believe they are superior arms technology fabricated by the Moldova government..,a scifithriller story centered on a specialops team that is dispatched to fight supernatural beings,civil unrest in the european country of moldova has us forces engaging the insurgents however there is a new threat who has decided both are their enemy this new threat resides in an alternative spectrum that makes them invisible to the naked eye and instant death to anyone confronting them locals believe they are spirits of war but others believe they are superior arms technology fabricated by the moldova government,0.17159090909090907,0.540719696969697,2016,12,0,0,Medium
Coin Heist,"United by dire circumstances, four unlikely allies from a Philadelphia prep school - the hacker, the slacker, the athlete, and the perfect student - band together to attempt the impossible: steal from the U.S. Mint.","Crime, Drama, Romance",Mature Audiences,97,2017-01-06,Emily Hagins,"['Alex Saxon', 'Alexis G. Zall', 'Sasha Pieterse']",United States,0,Adaptive Studios,0,0,0,2910.0,4.8,"United by dire circumstances, four unlikely allies from a Philadelphia prep school - the hacker, the slacker, the athlete, and the perfect student - band together to attempt the impossible: steal from the U.S. Mint.",united by dire circumstances four unlikely allies from a philadelphia prep school the hacker the slacker the athlete and the perfect student band together to attempt the impossible steal from the us mint,united by dire circumstances four unlikely allies from a philadelphia prep school  the hacker the slacker the athlete and the perfect student  band together to attempt the impossible steal from the us mint,-0.055555555555555546,0.8333333333333334,2017,1,0,0,Medium
Clinical,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.","Horror, Thriller",Not Rated,104,2017-01-13,Alistair Legrand,"['Vinessa Shaw', 'Kevin Rahm', 'India Eisley']",United States,0,Campfire,0,0,0,8763.0,5.1,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.",a psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient but he has his own terrifying history,a psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient but he has his own terrifying history,-0.19393939393939394,0.6424242424242425,2017,1,0,0,Medium
Take the 10,"A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire.",Comedy,Not Rated,80,2017-01-20,Chester Tam,"['Josh Peck', 'Tony Revolori', 'Kevin Corrigan']",United States,0,Blue Creek Pictures,0,0,0,3325.0,4.8,"A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire.",a day in the life of two best friends a drug dealer and a store manager collide at a hiphop concert in the inland empire,a day in the life of two best friends a drug dealer and a store manager collide at a hiphop concert in the inland empire,1.0,0.3,2017,1,0,0,Medium
iBoy,"After being shot, Tom awakens from a coma to discover that fragments of his smartphone have been embedded in his head--and worse, that returning to normal teenage life is impossible because he has developed a strange set of superp...","Action, Crime, Sci-Fi",Mature Audiences,90,2017-01-27,Adam Randall,"['Bill Milner', 'Maisie Williams', 'Miranda Richardson']",United Kingdom,0,Netflix,1,0,0,23806.0,5.9,"After being shot while calling for help trying to stop a violent attack on his high school girl, a 16 year old boy awakens from a coma to discover that fragments of his smart phone have embedded in his brain, giving him superhero powers. He uses this knowledge and technology to exact revenge on the gang responsible for the attack.",after being shot tom awakens from a coma to discover that fragments of his smartphone have been embedded in his headand worse that returning to normal teenage life is impossible because he has developed a strange set of superp,after being shot while calling for help trying to stop a violent attack on his high school girl a 16 year old boy awakens from a coma to discover that fragments of his smart phone have embedded in his brain giving him superhero powers he uses this knowledge and technology to exact revenge on the gang responsible for the attack,0.003469387755102043,0.4546938775510205,2017,1,1,0,Medium
Imperial Dreams,"A 21-year-old reformed gangster's devotion to his family and his future is put to the test when he is released from prison and returns to his old stomping grounds in Watts, Los Angeles.",Drama,Mature Audiences,90,2014-01-20,Malik Vitthal,"['John Boyega', 'Rotimi', 'Glenn Plummer']",United States,0,Super Crispy Entertainment,0,10,6,4719.0,6.7,"A 21-year-old reformed gangster's devotion to his family and his future is put to the test when he is released from prison and returns to his old stomping grounds in Watts, Los Angeles.",a 21yearold reformed gangsters devotion to his family and his future is put to the test when he is released from prison and returns to his old stomping grounds in watts los angeles,a 21yearold reformed gangsters devotion to his family and his future is put to the test when he is released from prison and returns to his old stomping grounds in watts los angeles,0.05,0.1625,2014,1,0,0,Medium
Girlfriend's Day,"A now down-on-his-luck romance card writer, Ray Wentworth, decides to recapture the feelings that once made him the greatest with the creation of a new holiday: Girlfriend's Day.","Comedy, Drama",Mature Audiences,70,2017-02-14,Michael Stephenson,"['Bob Odenkirk', 'Amber Tamblyn', 'Stacy Keach']",United States,0,Magic Stone Productions,1,0,0,5034.0,5.2,"In a city where greeting card writers are celebrated like movie stars, Romance writer Ray used to be the king. In trying to recapture the feelings that once made him the greatest, he gets entangled in a web of murder and deceit as writers vie to create the perfect card for a new holiday: Girlfriend's Day.",a now downonhisluck romance card writer ray wentworth decides to recapture the feelings that once made him the greatest with the creation of a new holiday girlfriends day,in a city where greeting card writers are celebrated like movie stars romance writer ray used to be the king in trying to recapture the feelings that once made him the greatest he gets entangled in a web of murder and deceit as writers vie to create the perfect card for a new holiday girlfriends day,0.6215909090909091,0.8011363636363636,2017,2,0,0,Medium
I Don't Feel at Home in This World Anymore,"When a depressed woman is burgled, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbour. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals.","Comedy, Crime, Drama",Mature Audiences,96,2017-01-19,Macon Blair,"['Melanie Lynskey', 'Chris Doubek', 'Marilyn Faith Hickey']",United States,0,Film Science,1,3,3,61634.0,6.9,"When a depressed woman is burgled, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbour. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals.",when a depressed woman is burgled she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbour but they soon find themselves dangerously out of their depth against a pack of degenerate criminals,when a depressed woman is burgled she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbour but they soon find themselves dangerously out of their depth against a pack of degenerate criminals,-0.20639730639730638,0.5478114478114479,2017,1,0,0,Medium
Burning Sands,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",Drama,Mature Audiences,102,2017-01-24,Gerard McMurray,"['Trevor Jackson', 'Tosin Cole', 'DeRon Horton']",United States,0,Mandalay Pictures,1,0,4,2979.0,6.0,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",deep into hell week a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing,deep into hell week a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing,0.4,0.65,2017,1,0,0,Medium
Deidra & Laney Rob a Train,"After their mother ends up in jail, two sisters turn to train robbery in order to support their family.","Comedy, Crime, Drama",Mature Audiences,92,2017-01-23,Sydney Freeland,"['Ashleigh Murray', 'Rachel Crow', 'Lance Gray']",United States,0,Netflix,0,0,1,2007.0,6.0,"DEIDRA &amp; LANEY ROB A TRAIN is the story of two teenage girls who start robbing trains to make ends meet after their mom goes to jail. Set in present day, with shades of RAISING ARIZONA and LITTLE MISS SUNSHINE. Written by Shelby Farrell, with Sundance Film Fest alum Sydney Freeland (DRUNKTOWN'S FINEST) directing, and Susan Cartsonis (THE DUFF, WHAT WOMEN WANT) and Nick Moceri (A GIRL WALKS HOME ALONE AT NIGHT) producing.",after their mother ends up in jail two sisters turn to train robbery in order to support their family,deidra amp laney rob a train is the story of two teenage girls who start robbing trains to make ends meet after their mom goes to jail set in present day with shades of raising arizona and little miss sunshine written by shelby farrell with sundance film fest alum sydney freeland drunktowns finest directing and susan cartsonis the duff what women want and nick moceri a girl walks home alone at night producing,-0.071875,0.125,2017,1,0,0,Medium
The Most Hated Woman in America,"The life of Madelyn Murray O'Hair, the outspoken activist and founder of American Atheists.","Biography, Drama, History",Mature Audiences,91,2017-03-14,Tommy O'Haver,"['Melissa Leo', 'Brandon Mychal Smith', 'Juno Temple']",United States,0,Brownstone Productions,1,0,0,7095.0,6.1,"A true story of the much debated rise and demise of a woman, named Madalyn Murray O'Hair, who was known as the head atheist activist of America. She founded the organization, American Atheist, and held the position of president within the organization for 23 years. Quickly this woman became the most loathed person in the country.",the life of madelyn murray ohair the outspoken activist and founder of american atheists,a true story of the much debated rise and demise of a woman named madalyn murray ohair who was known as the head atheist activist of america she founded the organization american atheist and held the position of president within the organization for 23 years quickly this woman became the most loathed person in the country,0.27666666666666667,0.37,2017,3,0,0,Medium
The Discovery,"Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past.","Drama, Romance, Sci-Fi",Mature Audiences,102,2017-01-20,Charlie McDowell,"['Robert Redford', 'Mary Steenburgen', 'Brian McCarthy']",United States,0,Endgame Entertainment,1,0,0,36247.0,6.2,"Writer-director Charlie McDowell returns to Sundance this year with a thriller about a scientist (played by Robert Redford) who uncovers scientific proof that there is indeed an afterlife. His son is portrayed by Jason Segel, who's not too sure about his father's ""discovery"", and Rooney Mara plays a mystery woman who has her own reasons for wanting to find out more about the afterlife.",two years after the afterlife is scientifically proven a man attempts to help a young woman break away from her dark past,writerdirector charlie mcdowell returns to sundance this year with a thriller about a scientist played by robert redford who uncovers scientific proof that there is indeed an afterlife his son is portrayed by jason segel whos not too sure about his fathers discovery and rooney mara plays a mystery woman who has her own reasons for wanting to find out more about the afterlife,0.5333333333333333,0.7962962962962963,2017,1,1,0,Medium
Win It All,"A small-time gambler agrees to stash a bag for an acquaintance who is heading to prison. When he discovers cash in the bag, he can't resist the urge to dip into the funds.",Comedy,Mature Audiences,90,2017-03-11,Joe Swanberg,"['Jake Johnson', 'Rony Shemon', 'Morgan Ng']",United States,0,Forager Films,1,0,0,9924.0,6.2,"Eddie Garrett agrees to watch a duffel bag for an acquaintance who is heading to prison. When he discovers cash in the bag, he's unable to resist the temptation and winds up deeply in debt. When the prison release is shortened, Eddie suddenly has a small window of time to win all the money back.",a smalltime gambler agrees to stash a bag for an acquaintance who is heading to prison when he discovers cash in the bag he cant resist the urge to dip into the funds,eddie garrett agrees to watch a duffel bag for an acquaintance who is heading to prison when he discovers cash in the bag hes unable to resist the temptation and winds up deeply in debt when the prison release is shortened eddie suddenly has a small window of time to win all the money back,0.00833333333333334,0.36666666666666664,2017,3,0,0,Medium
Sandy Wexler,"Sandy Wexler is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business.",Comedy,Mature Audiences,131,2017-04-07,Steve Brill,"['Adam Sandler', 'Jennifer Hudson', 'Kevin James']",United States,0,Happy Madison Productions,0,1,2,18127.0,5.2,"Sandy Wexler (Adam Sandler) is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business. His single-minded devotion is put to the test when he falls in love with his newest client, Courtney Clarke, a tremendously talented singer whom he discovers at an amusement park. Over the course of a decade, the two of them play out a star-crossed love story.",sandy wexler is a talent manager working in los angeles in the 1990s diligently representing a group of eccentric clients on the fringes of show business,sandy wexler adam sandler is a talent manager working in los angeles in the 1990s diligently representing a group of eccentric clients on the fringes of show business his singleminded devotion is put to the test when he falls in love with his newest client courtney clarke a tremendously talented singer whom he discovers at an amusement park over the course of a decade the two of them play out a starcrossed love story,0.425,0.65,2017,4,1,1,Long
Sand Castle,"The story follows a young soldier, and his introduction into the 2003 invasion of Iraq. Based on true events, it bears witness to the destruction and horrors of war.","Action, Drama, War",Mature Audiences,113,2017-04-21,Fernando Coimbra,"['Nicholas Hoult', 'Logan Marshall-Green', 'Henry Cavill']",United States,0,42,1,0,0,25568.0,6.3,"A soldier enlists just before the 9/11. He is not a brave man--simply volunteering to defend freedom. Arriving in Iraq in 2003, just after the occupation of Bagdad, with a few soldiers of his infantry platoon, he is sent to provide water to a village whose infrastructure was destroyed. Simple things however, such as water transportation, water distribution and the reconstruction of the plumbing became a challenge in war environment.",the story follows a young soldier and his introduction into the 2003 invasion of iraq based on true events it bears witness to the destruction and horrors of war,a soldier enlists just before the 911 he is not a brave mansimply volunteering to defend freedom arriving in iraq in 2003 just after the occupation of bagdad with a few soldiers of his infantry platoon he is sent to provide water to a village whose infrastructure was destroyed simple things however such as water transportation water distribution and the reconstruction of the plumbing became a challenge in war environment,-0.15000000000000002,0.4892857142857143,2017,4,0,1,Medium
Tramps,A young man and woman find love in an unlikely place while carrying out a shady deal.,"Adventure, Romance",Not Rated,83,2016-09-10,Adam Leon,"['Callum Turner', 'Grace Van Patten', 'Michal Vondel']",United States,0,Animal Kingdom,1,0,0,5990.0,6.5,A young man and woman find love in an unlikely place while carrying out a shady deal.,a young man and woman find love in an unlikely place while carrying out a shady deal,a young man and woman find love in an unlikely place while carrying out a shady deal,-0.037500000000000006,0.53125,2016,9,0,0,Medium
Small Crimes,"A disgraced former cop, fresh off a six-year prison sentence for attempted murder - returns home looking for redemption but winds up trapped in the mess he left behind.","Crime, Drama, Thriller",Mature Audiences,95,2017-03-11,Evan Katz,"['Nikolaj Coster-Waldau', 'Robert Forster', 'Jacki Weaver']",United States,1,Rooks Nest Entertainment,1,0,0,8616.0,5.8,"SMALL CRIMES is a delightfully suspenseful, blackly comic tale that follows a disgraced former cop, fresh off a six-year prison sentence for attempted murder, who returns home looking for redemption, but winds up trapped in the mess he left behind.",a disgraced former cop fresh off a sixyear prison sentence for attempted murder returns home looking for redemption but winds up trapped in the mess he left behind,small crimes is a delightfully suspenseful blackly comic tale that follows a disgraced former cop fresh off a sixyear prison sentence for attempted murder who returns home looking for redemption but winds up trapped in the mess he left behind,-0.052777777777777785,0.3638888888888888,2017,3,0,0,Medium
